epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4250.89,1.00016,0.41973,1.09743,0.99271,1,0.99483,0.73177,1.10427,0.35983,1.13769,0.000416,0.000416,0.000416
82,4302.46,0.99687,0.42027,1.10425,0.99311,0.99659,0.99497,0.7375,1.09793,0.36587,1.13167,0.0003962,0.0003962,0.0003962
83,4353.86,1.00444,0.42316,1.10185,0.98653,0.99951,0.99497,0.73842,1.09754,0.36571,1.12558,0.0003764,0.0003764,0.0003764
84,4405.17,0.98229,0.41325,1.08987,0.99281,1,0.99493,0.73789,1.0893,0.36149,1.12898,0.0003566,0.0003566,0.0003566
85,4456.44,0.98749,0.41475,1.09372,0.99276,1,0.995,0.74187,1.09273,0.36087,1.12979,0.0003368,0.0003368,0.0003368
86,4507.73,0.99857,0.42515,1.10446,0.98986,0.99979,0.995,0.74063,1.08415,0.36374,1.12328,0.000317,0.000317,0.000317
87,4559.03,0.98099,0.41256,1.09346,0.99322,0.99996,0.99493,0.74104,1.08221,0.35687,1.12566,0.0002972,0.0002972,0.0002972
88,4610.17,0.98189,0.41479,1.09629,0.99297,1,0.995,0.7394,1.08618,0.35806,1.12281,0.0002774,0.0002774,0.0002774
89,4661.65,0.97262,0.40994,1.09093,0.99322,0.99962,0.99497,0.73907,1.08345,0.36183,1.12814,0.0002576,0.0002576,0.0002576
90,4713.08,0.96581,0.40554,1.08451,0.99302,1,0.995,0.74064,1.07799,0.35318,1.12059,0.0002378,0.0002378,0.0002378
91,4784.23,0.95854,0.3554,1.09759,0.99277,1,0.995,0.73601,1.09002,0.36242,1.12619,0.000218,0.000218,0.000218
92,4835.02,0.95877,0.35062,1.09969,0.99284,1,0.995,0.73452,1.08705,0.35855,1.12848,0.0001982,0.0001982,0.0001982
93,4885.93,0.95748,0.35031,1.09918,0.99322,0.99956,0.995,0.73868,1.08649,0.35519,1.12675,0.0001784,0.0001784,0.0001784
94,4936.55,0.95232,0.3483,1.10254,0.98986,0.99968,0.995,0.73797,1.08455,0.35333,1.12392,0.0001586,0.0001586,0.0001586
95,4987.16,0.95256,0.34951,1.09424,0.99322,0.99955,0.995,0.74019,1.08378,0.35943,1.12636,0.0001388,0.0001388,0.0001388
96,5037.93,0.94985,0.34891,1.09283,0.99322,0.99963,0.995,0.73867,1.08537,0.35677,1.12651,0.000119,0.000119,0.000119
97,5088.61,0.93814,0.34259,1.0899,0.99322,0.9995,0.995,0.73799,1.08939,0.35662,1.12882,9.92e-05,9.92e-05,9.92e-05
98,5139.23,0.93518,0.33755,1.08837,0.99313,0.99659,0.995,0.73987,1.09446,0.36056,1.12962,7.94e-05,7.94e-05,7.94e-05
99,5190.09,0.93775,0.34124,1.09082,0.99304,0.99659,0.995,0.73733,1.09289,0.36183,1.13107,5.96e-05,5.96e-05,5.96e-05
100,5240.87,0.93501,0.33944,1.08878,0.99307,0.99659,0.995,0.73793,1.08831,0.36087,1.12877,3.98e-05,3.98e-05,3.98e-05
